Urut Nasional,Urut Provinsi,Rerata,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis
941,175,"512,056",20362426,SMAS ISLAM AL-AZHAR SOLO BARU,Jawa Tengah,Kab. Sukoharjo,SMA
942,174,"512,043",20276187,SMAN 9 DEPOK,Jawa Barat,Kota Depok,SMA
943,132,"512,024",20103282,SMAN 22 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
944,27,"512,021",10307616,SMKN ANALIS KIMIA PADANG,Sumatera Barat,Kota Padang,SMK
945,176,"511,95",20330346,SMAS AL ISLAM 1 SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
946,175,"511,945",69954194,SMA ISLAM AL - AZHAR 18 GRAND WISATA,Jawa Barat,Kab. Bekasi,SMA
947,177,"511,899",20312189,SMAN 2 KARANGANYAR,Jawa Tengah,Kab. Karanganyar,SMA
948,178,"511,884",20314864,SMKN 2 BLORA,Jawa Tengah,Kab. Blora,SMK
949,141,"511,811",20580038,MAN KOTA BATU,Jawa Timur,Kota Batu,MA
950,133,"511,799",20102565,SMAN 86 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
951,179,"511,794",20308441,SMAN 1 TERAS,Jawa Tengah,Kab. Boyolali,SMA
952,142,"511,771",20537011,SMAN 1 KEBOMAS,Jawa Timur,Kab. Gresik,SMA
953,143,"511,765",20538321,SMAN 1 NGANJUK,Jawa Timur,Kab. Nganjuk,SMA
954,176,"511,728",20280140,MAS DARUL MARHAMAH,Jawa Barat,Kab. Bogor,MA
955,5,"511,721",10102744,SMAN UNGGUL TAPAKTUAN,Aceh,Kab. Aceh Selatan,SMA
956,10,"511,706",40306507,SMAS KRISTEN BARANA,Sulawesi Selatan,Kab. Toraja Utara,SMA
957,20,"511,62",10401526,SMAN 1 RENGAT,Riau,Kab. Indragiri Hulu,SMA
958,134,"511,54",20107589,SMAS GLOBAL ISLAMIC SCHOOL,DKI Jakarta,Kota Jakarta Timur,SMA
959,8,"511,502",30105462,SMAS SANTO IGNASIUS SINGKAWANG,Kalimantan Barat,Kota Singkawang,SMA
960,180,"511,502",20364919,MAS WATHONIYAH ISLAMIYAH KEBARONGAN,Jawa Tengah,Kab. Banyumas,MA
961,78,"511,438",20401129,SMAN 1 NGAGLIK,DI Yogyakarta,Kab. Sleman,SMA
962,135,"511,424",20101499,SMKN 45 JAKARTA,DKI Jakarta,Kota Jakarta Barat,SMK
963,144,"511,367",20532238,SMAN 14 SURABAYA,Jawa Timur,Kota Surabaya,SMA
964,177,"511,31",20227827,SMA TERPADU BAITURRAHMAN,Jawa Barat,Kab. Bandung,SMA
965,10,"511,307",10801972,SMAS SUGAR GROUP B MATARAM,Lampung,Kab. Lampung Tengah,SMA
966,5,"511,293",50201391,SMAN 1 PRAYA,Nusa Tenggara Barat,Kab. Lombok Tengah,SMA
967,136,"511,28",20102579,SMKN 6 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMK
968,145,"511,254",20525600,SMAN 2 GENTENG,Jawa Timur,Kab. Banyuwangi,SMA
969,178,"511,228",20219233,SMAN 26 BANDUNG,Jawa Barat,Kota Bandung,SMA
970,137,"511,222",20102215,SMAN 32 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
971,11,"511,222",30300697,SMAN 1 PELAIHARI,Kalimantan Selatan,Kab. Tanah Laut,SMA
972,179,"511,219",69857938,SMAN 12 KOTA DEPOK,Jawa Barat,Kota Depok,SMA
973,146,"511,218",20537286,SMKN 1 BOYOLANGU,Jawa Timur,Kab. Tulungagung,SMK
974,181,"511,194",20323503,SMA NEGERI 1 WIRADESA,Jawa Tengah,Kab. Pekalongan,SMA
975,138,"511,135",69977033,SMA Islam Al Azhar 19,DKI Jakarta,Kota Jakarta Timur,SMA
976,182,"511,107",20321835,SMAN 1 SUKOREJO,Jawa Tengah,Kab. Kendal,SMA
977,79,"511,081",20400375,SMA NEGERI 1 PLERET,DI Yogyakarta,Kab. Bantul,SMA
978,180,"511,075",69830492,SMA SULTHON AULIA BOARDING SCHOOL,Jawa Barat,Kota Bekasi,SMA
979,183,"511,031",20339018,SMA NEGERI 1 JAKENAN,Jawa Tengah,Kab. Pati,SMA
980,184,"511,01",20315660,SMK NEGERI 1 REMBANG,Jawa Tengah,Kab. Rembang,SMK
981,147,"510,989",20554539,SMAS BRAWIJAYA SMART SCHOOL,Jawa Timur,Kota Malang,SMA
982,148,"510,942",20532211,SMKN 5 SURABAYA,Jawa Timur,Kota Surabaya,SMK
983,139,"510,922",20103791,SMKN 10 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMK
984,185,"510,873",20321974,SMAN 1 BOJA,Jawa Tengah,Kab. Kendal,SMA
985,186,"510,856",20327971,SMAN 6 SURAKARTA,Jawa Tengah,Kota Surakarta,SMA
986,140,"510,856",20103313,SMAN 50 JAKARTA,DKI Jakarta,Kota Jakarta Timur,SMA
987,11,"510,826",40311889,SMAN 2 MAKASSAR,Sulawesi Selatan,Kota Makassar,SMA
988,149,"510,71",20533610,SMAS LABORATORIUM UM,Jawa Timur,Kota Malang,SMA
989,80,"510,666",20411874,SMA ALI MAKSUM,DI Yogyakarta,Kab. Bantul,SMA
990,187,"510,625",20311332,SMAN 1 WURYANTORO,Jawa Tengah,Kab. Wonogiri,SMA
991,150,"510,62",20527237,SMAN 3 PAMEKASAN,Jawa Timur,Kab. Pamekasan,SMA
992,21,"510,618",10498808,MAN 1 PEKANBARU,Riau,Kota Pekanbaru,MA
993,141,"510,589",20107305,SMA ISLAM AL-AZHAR 2 JAKARTA,DKI Jakarta,Kota Jakarta Selatan,SMA
994,12,"510,575",30315148,MAN 1 TAPIN,Kalimantan Selatan,Kab. Tapin,MA
995,21,"510,536",10210743,SMAS KRISTEN KALAM KUDUS,Sumatera Utara,Kota Medan,SMA
996,21,"510,532",50105600,MAN 1 JEMBRANA,Bali,Kab. Jembrana,MA
997,151,"510,524",20542523,SMK NEGERI 1 POGALAN,Jawa Timur,Kab. Trenggalek,SMK
998,181,"510,518",20220337,SMAN 8 BOGOR,Jawa Barat,Kota Bogor,SMA
999,182,"510,514",20238003,SMAS AL - MUSLIM,Jawa Barat,Kab. Bekasi,SMA
1000,52,"510,509",20606846,SMAN 4 TANGERANG,Banten,Kota Tangerang,SMA
