#,NPSN,Sekolah,Provinsi,Rerata,Tertinggi,Terendah,Std. Deviasi,Jenis
135,20402794,SMA NEGERI 1 WATES,DI Yogyakarta,"557,896","639,915","463,888","32,91",SMA
136,20328896,SMA NEGERI 02,Jawa Tengah,"557,888","650,133","464,108","32,01",SMA
137,10303461,SMAN 1 PADANG,Sumatera Barat,"557,793","640,753","447,488","39,76",SMA
138,20219262,SMAS ALLOYSIUS 2,Jawa Barat,"557,758","632,815","493,09","37,87",SMA
139,69787182,SMAS Mutiara Harapan,Riau,"557,581","646,283","463,16","45,42",SMA
140,20103223,SMAS LABSCHOOL JAKARTA,DKI Jakarta,"557,32","632,795","460,095","38,14",SMA
141,10303462,SMAN 10 PADANG,Sumatera Barat,"557,145","646,168","449,045","37,15",SMA
142,20327969,SMAN 4 SURAKARTA,Jawa Tengah,"557,128","654,04","443,423","35,45",SMA
143,20339021,SMA NEGERI 1 PATI,Jawa Tengah,"557,049","641,023","446,335","35,82",SMA
144,20603377,SMAS STELLA MARIS BSD,Banten,"557,005","626,758","482,083","38,46",SMA
145,20102212,SMAN 38 JAKARTA,DKI Jakarta,"556,92","642,265","432,068","37,05",SMA
146,20328916,SMA KARANGTURI,Jawa Tengah,"556,838","645,333","441,84","61,49",SMA
147,20532242,SMAN 1 SURABAYA,Jawa Timur,"556,822","638,313","441,87","35,46",SMA
148,69883214,SMA PLUS AR RAHMAT,Jawa Timur,"556,666","641,738","488,595","39,93",SMA
149,50103124,SMAN 4 DENPASAR,Bali,"556,378","651,56","437,38","47,69",SMA
150,20401146,SMAN 1 GODEAN,DI Yogyakarta,"556,286","616,798","467,17","30,15",SMA
151,11002204,SMAS KATOLIK YOS SUDARSO,Kepulauan Riau,"556,109","626,438","477,558","38,08",SMA
152,20103256,SMAN 99 JAKARTA,DKI Jakarta,"556,016","663,483","449,625","34,97",SMA
153,20302165,SMAN 2 PURWOKERTO,Jawa Tengah,"555,946","650,855","444,093","34,88",SMA
154,20317494,SMAN 1 KUDUS,Jawa Tengah,"555,646","658,005","441,318","36,18",SMA
155,20103285,SMAN 12 JAKARTA,DKI Jakarta,"555,493","646,853","436,77","36,38",SMA
156,69983368,MAN INSAN CENDEKIA PADANG PARIAMAN,Sumatera Barat,"555,457","614,77","441,983","37,49",MA
157,20534388,SMAN 2 KEDIRI,Jawa Timur,"555,312",661,"440,143","39,22",SMA
158,20100201,SMAN 77 JAKARTA,DKI Jakarta,"555,254","648,113","451,753","36,38",SMA
159,20100198,SMAS SANTA THERESIA JAKARTA,DKI Jakarta,"555,181","625,683","448,983","37,57",SMA
160,10208520,SMAN 2 BALIGE,Sumatera Utara,"555,143","650,86","439,283","39,98",SMA
161,69941607,MAN Insan Cendekia Oki,Sumatera Selatan,"555,068","631,478","462,328","39,82",MA
162,20401161,SMAN 1 DEPOK,DI Yogyakarta,"554,776","656,353","474,023","33,57",SMA
163,20103303,SMAN 71 JAKARTA,DKI Jakarta,"554,768","632,108","403,913","37,27",SMA
164,20328893,SMA NEGERI 05,Jawa Tengah,"554,585","645,983","434,9","36,88",SMA
165,20302182,SMAN 1 PURWOKERTO,Jawa Tengah,"554,285","665,403","403,438","38,99",SMA
166,20238524,SMK-SMAK BOGOR,Jawa Barat,"554,109","638,585","453,08","36,59",SMK
167,10210836,SMAS SUTOMO 2,Sumatera Utara,"554,105","631,073","467,65","44,71",SMA
168,69870886,SMA KRISTEN PENABUR SUMMARECON BEKASI,Jawa Barat,"554,072","620,853","459,52","36,11",SMA
169,20223818,SMAN 2 KOTA DEPOK,Jawa Barat,"553,99","634,123","437,16","44,74",SMA
170,20312200,SMAN 1 KARANGANYAR,Jawa Tengah,"553,839","638,848","426,943","35,05",SMA
171,20533667,SMAN 4,Jawa Timur,"553,764","631,228","450,053","34,73",SMA
172,20219254,SMAN 2 BANDUNG,Jawa Barat,"553,668","646,145","418,813","46,13",SMA
173,30105210,SMAN 1 PONTIANAK,Kalimantan Barat,"553,465","644,235","419,933","41,54",SMA
174,20328894,SMA NEGERI 04,Jawa Tengah,"553,371","642,46","452,665","32,43",SMA
175,10211691,SMAS BUDI MULIA,Sumatera Utara,"553,367","649,575","439,233","36,77",SMA
176,20223044,SMAN 5 BEKASI,Jawa Barat,"553,304","653,34","406,388","46,47",SMA
177,30401491,SMAN 1 BALIKPAPAN,Kalimantan Timur,"553,297","641,24","415,458","43,06",SMA
178,20520820,SMAN 2 LUMAJANG,Jawa Timur,"552,955","627,783","446,293","35,17",SMA
179,20200691,SMAN 2 CIBINONG,Jawa Barat,"552,257","646,905","441,833","38,34",SMA
180,20306171,SMAN 7 PURWOREJO,Jawa Tengah,"552,206","628,793","478,545","31,87",SMA
181,20325299,SMAN 1 SLAWI,Jawa Tengah,"551,761","648,048","442,525","32,72",SMA
182,69760753,SMAS IT IBNU ABBAS,Jawa Tengah,"551,662","639,768","446,59","40,36",SMA
183,10504594,SMAS XAVERIUS 1,Jambi,"551,45","658,893","437,073","51,37",SMA
184,20279931,SMAS AL-IRSYAD SATYA,Jawa Barat,"551,448","653,553","463,065","45,77",SMA
185,20401124,SMAN 1 SLEMAN,DI Yogyakarta,"551,402","636,345","464,388","33,45",SMA
186,20403179,SMAN 4 YOGYAKARTA,DI Yogyakarta,"551,378","639,538","428,768","36,78",SMA
187,20303249,SMAN 1 PURBALINGGA,Jawa Tengah,"551,338","637,78","464,73","34,73",SMA
188,20320242,SMA NEGERI 1 UNGARAN,Jawa Tengah,"551,298","631,958","449,733","35,57",SMA
189,20535050,SMAN 1 BLITAR,Jawa Timur,"551,117","644,525","426,34","42,77",SMA
190,20306807,SMA NEGERI 1 WONOSOBO,Jawa Tengah,"550,982","635,863","425,06","34,32",SMA
191,20403175,SMAN 10 YOGYAKARTA,DI Yogyakarta,"550,978","617,193","472,93","29,74",SMA
192,50100337,SMAN 1 SINGARAJA,Bali,"550,977","647,623","456,27","40,21",SMA
193,20401156,SMAS KOLESE DE BRITTO DEPOK,DI Yogyakarta,"550,933","631,785","466,948","37,57",SMA
194,20104432,SMAS KATOLIK SANG TIMUR,DKI Jakarta,"550,735","636,038","453,533","46,19",SMA
195,20511965,SMAN 2 PARE,Jawa Timur,"550,718","622,568","447,2",34,SMA
