Kecamatan,Kelurahan,Belum Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian ,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Lainnya
Cibeunying Kaler,Cihaur Geulis,1837,466,131,4393,3,-,5,3057,35,331,2509
Lengkong,Cijagra,1757,680,114,3569,-,1,8,2906,121,455,2256
Buahbatu,Cijaura,5067,974,211,9007,16,-,-,6152,64,516,5900
Bandung Kulon,Cijerah,4636,383,182,8612,11,-,5,4839,42,322,5120
Lengkong,Cikawao,1511,181,66,3216,3,-,2,1865,16,101,2049
Cibeunying Kidul,Cikutra,4336,579,149,7728,4,1,7,4568,42,529,5081
Gedebage,Cimenerang,912,183,33,1296,27,-,2,801,18,11,832
Cibiru,Cipadung,4203,783,271,6953,28,-,2,4850,43,248,4814
Panyileukan,Cipadung Kidul,2496,1288,238,4302,9,1,3,3768,54,428,2708
Panyileukan,Cipadung Kulon,2537,620,141,4227,21,-,2,2968,40,221,2798
Panyileukan,Cipadung Wetan,696,44,9,1153,23,-,3,682,5,21,836
Coblong,Cipaganti,1904,281,57,4150,-,-,2,2527,44,184,2535
Rancasari,Cipamokolan,4395,1259,234,7827,32,-,9,5246,128,558,4644
Sukajadi,Cipedes,5225,677,207,9705,10,-,7,6460,65,416,6643
Babakan Ciparay,Cirangrang,2095,116,50,3954,2,-,1,2089,36,101,2901
Andir,Ciroyom,3763,157,103,6763,2,-,8,4252,16,95,4720
Gedebage,Cisantren Kidul,4075,1076,235,6298,42,1,6,4001,76,594,4260
Arcamanik,Cisaranten Bina Harapan,2408,435,91,3776,7,-,5,2418,26,230,2671
